Source_IP,Source_PORT,Destination_IP,Destination_PORT,TYPE_Protokol,TotalLength,CSD_Payload_1Gram,CSD_Payload_2Gram,CSD_Payload_3Gram,CSD_Payload_4Gram,CSD_Payload_5Gram,CSD_Payload_6Gram,CS_Payload_1Gram,CS_Payload_2Gram,CS_Payload_3Gram,CS_Payload_4Gram,CS_Payload_5Gram,CS_Payload_6Gram,Target
3232257838,137,3232260095,137,1,40,1.5751,1.5759,15.1953,7.5098,8.6994,0.0553,0.997692526,0.997692526,0.95350099,0.997692526,0.997692526,0.9976925,1
2852026205,137,2852061183,137,1,40,23.1476,3.3982,0.3096,3.0862,2.9181,0.7296,0.958218538,0.958218538,0.812325692,0.958218538,0.958218538,0.9582185,1
3232257838,50931,167840005,7680,1,40,0.1641,1.595,30.7851,0.2429,4.0768,0.2636,0.742823611,0.742823611,0.999532721,0.742823611,0.742823611,0.7428236,0
2886808529,137,2886808543,137,3,105,71.4548,0.0562,0.1825,0.2476,2.6734,13.85,0.968513648,0.968513648,0.985733627,0.968513648,0.968513648,0.9685136,1
2886808529,5353,3758096635,5353,3,201,23.1476,3.9671,76.3283,0.5132,0.1186,13.9379,0.998847916,0.998847916,0.9974697,0.998847916,0.998847916,0.9988479,1
3232257838,50925,3232258764,7680,1,49,6.451,0.5132,1,1.5414,2.9181,2.3,1,1,0.717833832,1,1,1,1
2886808529,137,2886808543,137,1,52,0.9393,0.5132,5.4545,5.1826,69.4236,0.5843,0.777964921,0.777964921,0.992884916,0.777964921,0.777964921,0.7779649,0
2886808529,5353,3758096635,5353,1,52,1,0.1879,0.716,5.1305,2.611,0.0402,0.716167714,0.716167714,0.999167432,0.716167714,0.716167714,0.7161677,0
3232257838,51100,167840062,7680,1,49,0.592,0.0678,3.0166,0.2163,2.9181,0.0532,0.742823611,0.742823611,0.991549175,0.742823611,0.742823611,0.7428236,0
2852026205,137,2852061183,137,1,40,23.1476,1.6369,11.3333,0.1829,1,2.3,0.99924029,0.99924029,0.743720491,0.99924029,0.99924029,0.9992403,1
2886808529,5353,3758096635,5353,1,40,2.6751,0.2045,1,0.1342,1,1.526,0.999608289,0.999608289,0.974792388,0.999608289,0.999608289,0.9996083,1
3232257838,50928,167840013,7680,3,201,0.0284,5.2167,0.3096,0.5132,0.6988,0.5843,0.934334073,0.934334073,0.742823622,0.934334073,0.934334073,0.9343341,1
